timestamp_sec,person_lat,person_lon,drone_lat,drone_lon,error_meters
1771590159.992250919,28.753783127,77.115402440,28.753786100,77.115400500,0.3808
1771590189.460758209,28.753817379,77.115523719,28.753786300,77.115519200,3.4838
1771590189.527505159,28.753817007,77.115524039,28.753786300,77.115519200,3.4468
1771590189.560878754,28.753816718,77.115524415,28.753786300,77.115519200,3.4203
1771590189.660999298,28.753815373,77.115527893,28.753786600,77.115522300,3.2455
1771590189.694372654,28.753815116,77.115527756,28.753786600,77.115522300,3.2151
1771590189.727746010,28.753814979,77.115528066,28.753786600,77.115522300,3.2053
1771590189.761119604,28.753814734,77.115528164,28.753786600,77.115522300,3.1802
1771590189.794493198,28.753814454,77.115528760,28.753786600,77.115522300,3.1606
1771590189.827866793,28.753813165,77.115531928,28.753787100,77.115525400,2.9674
1771590189.861240149,28.753813242,77.115531604,28.753787100,77.115525400,2.9692
1771590189.894613504,28.753812328,77.115531892,28.753787100,77.115525400,2.8757
1771590189.927987099,28.753811905,77.115531958,28.753787100,77.115525400,2.8313
1771590189.961360693,28.753811416,77.115531816,28.753787100,77.115525400,2.7752
1771590189.994734049,28.753810727,77.115531616,28.753787100,77.115525400,2.6962
1771590190.028107643,28.753810185,77.115531468,28.753787100,77.115525400,2.6342
1771590190.061480999,28.753809017,77.115535634,28.753787400,77.115528800,2.4943
1771590190.094854593,28.753808300,77.115535327,28.753787400,77.115528800,2.4095
1771590190.128228903,28.753808237,77.115535258,28.753787400,77.115528800,2.4010
1771590190.161602497,28.753807774,77.115535209,28.753787400,77.115528800,2.3500
1771590190.194975853,28.753807711,77.115534959,28.753787400,77.115528800,2.3369
1771590190.228349447,28.753807684,77.115534906,28.753787400,77.115528800,2.3327
1771590190.261722803,28.753807741,77.115534940,28.753787400,77.115528800,2.3396
1771590190.295096159,28.753807872,77.115534920,28.753787400,77.115528800,2.3533
1771590190.328469753,28.753809414,77.115539457,28.753787700,77.115532000,2.5216
1771590190.361843348,28.753809210,77.115539434,28.753787700,77.115532000,2.4991
1771590190.395216703,28.753809155,77.115539595,28.753787700,77.115532000,2.4980
1771590190.428590059,28.753808708,77.115539213,28.753787700,77.115532000,2.4395
1771590190.461963654,28.753808291,77.115538913,28.753787700,77.115532000,2.3868
1771590190.495337248,28.753807498,77.115538766,28.753787700,77.115532000,2.2981
1771590194.466776848,28.753781806,77.115566559,28.753793000,77.115570400,1.2998
1771590194.500151634,28.753781923,77.115566437,28.753793000,77.115570400,1.2909
1771590194.566900969,28.753780430,77.115566993,28.753792800,77.115571100,1.4326
1771590194.600275517,28.753780112,77.115566933,28.753792800,77.115571100,1.4681
1771590194.633650303,28.753779834,77.115566753,28.753792800,77.115571100,1.5027
1771590194.667024851,28.753779728,77.115566239,28.753792800,77.115571100,1.5289
1771590194.700399637,28.753779614,77.115566150,28.753792800,77.115571100,1.5436
1771590194.767149210,28.753779062,77.115565753,28.753792800,77.115571100,1.6141
1771590194.800523996,28.753778657,77.115565580,28.753792800,77.115571100,1.6621
1771590194.934022903,28.753775431,77.115565054,28.753792700,77.115571500,2.0205
1771590195.968604565,28.753773388,77.115562466,28.753793200,77.115571000,2.3549
1771590224.569666386,28.753746970,77.115601775,28.753718500,77.115614700,3.4072
1771590224.603039980,28.753746645,77.115602433,28.753718500,77.115614700,3.3502
1771590224.636413574,28.753745779,77.115603067,28.753718500,77.115614700,3.2384
1771590224.669786930,28.753744493,77.115604004,28.753718500,77.115614700,3.0727
1771590224.703160286,28.753743577,77.115604783,28.753718500,77.115614700,2.9513
1771590224.736533880,28.753743002,77.115605936,28.753718500,77.115614700,2.8553
1771590224.769907236,28.753742616,77.115607289,28.753718500,77.115614700,2.7772
1771590224.803280830,28.753742441,77.115607840,28.753718500,77.115614700,2.7448
1771590224.836654186,28.753736415,77.115613561,28.753717100,77.115617500,2.1818
1771590224.870027781,28.753736526,77.115613569,28.753717100,77.115617500,2.1938
1771590224.903401136,28.753736715,77.115614093,28.753717100,77.115617500,2.2062
1771590224.936774731,28.753736960,77.115614389,28.753717100,77.115617500,2.2290
1771590224.970148087,28.753737076,77.115614857,28.753717100,77.115617500,2.2361
1771590225.003521442,28.753737180,77.115614957,28.753717100,77.115617500,2.2466
1771590225.036895037,28.753737151,77.115615130,28.753717100,77.115617500,2.2415
1771590225.070268631,28.753737018,77.115615320,28.753717100,77.115617500,2.2250
1771590225.103641748,28.753737040,77.115615936,28.753715800,77.115619700,2.3901
1771590225.137015343,28.753737129,77.115615818,28.753715800,77.115619700,2.4017
1771590225.170389891,28.753736892,77.115616020,28.753715800,77.115619700,2.3727
1771590225.203763247,28.753736614,77.115616118,28.753715800,77.115619700,2.3406
1771590225.237136602,28.753736522,77.115616056,28.753715800,77.115619700,2.3314
1771590225.270509958,28.753736201,77.115616154,28.753715800,77.115619700,2.2947
1771590225.303883553,28.753736095,77.115616066,28.753715800,77.115619700,2.2844
1771590225.337256908,28.753734457,77.115617674,28.753714300,77.115621700,2.2755
1771590225.370630264,28.753734291,77.115617630,28.753714300,77.115621700,2.2580
1771590225.404003620,28.753733857,77.115617593,28.753714300,77.115621700,2.2112
1771590225.437377214,28.753733575,77.115617612,28.753714300,77.115621700,2.1800
1771590225.470750570,28.753733325,77.115617701,28.753714300,77.115621700,2.1511
1771590225.504123926,28.753732570,77.115617939,28.753714300,77.115621700,2.0644
1771590225.537497282,28.753732321,77.115617891,28.753714300,77.115621700,2.0379
1771590225.570870876,28.753731801,77.115617692,28.753714300,77.115621700,1.9848
1771590225.604244232,28.753728366,77.115620038,28.753712700,77.115623600,1.7763
1771590225.637617588,28.753727958,77.115619835,28.753712700,77.115623600,1.7359
1771590225.670990944,28.753727299,77.115619244,28.753712700,77.115623600,1.6779
1771590225.704364538,28.753726704,77.115618948,28.753712700,77.115623600,1.6219
1771590225.737737894,28.753726347,77.115618475,28.753712700,77.115623600,1.5976
1771590225.771111250,28.753725784,77.115618054,28.753712700,77.115623600,1.5521
1771590225.804484606,28.753725559,77.115617365,28.753712700,77.115623600,1.5537
1771590225.837858200,28.753724711,77.115619177,28.753711100,77.115625200,1.6234
1771590225.871232748,28.753724424,77.115618765,28.753711100,77.115625200,1.6089
